AGENDA - ENTREGA TÉCNICA 2026,,,,,,,,,,,,,,
DATA,DIA ,DIA ,HORA,CHASSI,MODELO,CLIENTE,VENDEDOR,LAVADO,ACES.,ENTREGADOR,MODALIDADE,AGENDAMENTO,STATUS,OBS: PÓS ENTREGA
21/01/2026,qua.,QUA.,09:00,TR017368,20.480,D V MARQUES E TRANSPORTES LTDA,JORGE,LAVADO,,MARCIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
21/01/2026,qua.,QUA.,14:00,TR000248,11.180,T & T COMERCIO E REPRESENTACAO LTDA,LUIZ CLAUDIO,LAVADO,,BRUNO MICHEL,ENTREGA TECNICA,CONFIRMADO,NÃO COMPARECEU,
21/01/2026,qua.,QUA.,16:00,TR014082,9.180,PLAY PHARMA COMERCIO DE PRODUTOS HOSPIT,JORGE,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
21/01/2026,qua.,QUA.,DIA TODO,,33.480,CARGIL BIOENERGIA LTDA,FERNANDO GER.,,,WANDERSON,T.C.PRATICO,CONFIRMADO,CONCLUIDO,
22/01/2026,qui.,QUI.,09:00,TR026645,26.320,WALDECY FIORI,EURIPEDES,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
22/01/2026,qui.,QUI.,13:30,TR200185,29.530,TECPAV TECNOLOGIA E PAVIMENTACAO LTDA,RUI,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
22/01/2026,qui.,QUI.,DIA TODO,,33.480,CARGIL BIOENERGIA LTDA,FERNANDO GER.,,,WANDERSON,T.C.PRATICO,CONFIRMADO,CONCLUIDO,
23/01/2026,sex.,SEX.,13:30,TR018499,9.180,CR BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,CARLOS,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
23/01/2026,sex.,SEX.,14:00,TR000248,11.180,T & T COMERCIO E REPRESENTACAO LTDA,LUIZ CLAUDIO,LAVADO,,MARCIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
23/01/2026,sex.,SEX.,DIA TODO,,33480,CARGIL BIOENERGIA LTDA,FERNANDO GER.,,,WANDERSON,T.C.PRATICO,CONFIRMADO,CONCLUIDO,
24/01/2026,sáb.,SÁB.,10:00,TR001900,11.180,RODRIGUES DISTRIBUIDORA,CARLOS,LAVADO,,MARCIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
26/01/2026,seg.,SEG.,09:00,TR014082,9.180,PLAY PHARMA COMERCIO DE PRODUTOS HOSPIT,JORGE,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
26/01/2026,seg.,SEG.,09:00,TR006185,26.320,IAGGO CARDOSO LIMA,CARLOS,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
26/01/2026,seg.,SEG.,A TARDE,,,WANDERSON - MEDICO,FERNANDO GER.,,,WANDERSON,ATENDIMENTO,CONFIRMADO,CONCLUIDO,
28/01/2026,qua.,QUA.,DIA TODO,NR041008,24.280,BOMSUCESSO,FERNANDO GER.,,,WANDERSON,TREINAMENTO,CONFIRMADO,CONCLUIDO,
29/01/2026,qui.,QUI.,09:00,TR011385,9.180,AGUA NA BOCA SERVICOS LTDA,RUI,LAVADO,,VALMARIO,ATENDIMENTO,CONFIRMADO,NÃO COMPARECEU,
29/01/2026,qui.,QUI.,09:00,TR030530,17.210,ELETROAGRO MONTAGENS ELETRICAS LTDA,CRISTIANO,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
29/01/2026,qui.,QUI.,13:30,TR011385,9.180,AGUA NA BOCA SERVICOS LTDA,RUI,LAVADO,,WANDERSON,ATENDIMENTO,CONFIRMADO,CONCLUIDO,
29/01/2026,qui.,QUI.,16:00,TR022435,27.260,ITACUA INDUSTRIA E COMERCIO DE MINERIOS LTDA,EURIPEDES,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
30/01/2026,sex.,SEX.,09:00,TR006583,11.180,IVAIR LOPES - SEMI NOVO,JORGE,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
30/01/2026,sex.,SEX.,10:00,TR201771,28.480,DOMINGOS E CUNHA TRANSPORTES LTDA - ITUMBIARA,MARIANA,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
30/01/2026,sex.,SEX.,11:00,TR013628,25.480,RE TRANSPORTES LTDA,LUIZ CLAUDIO,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
30/01/2026,sex.,SEX.,16:00,TR010673,26.320,MESTRE PRODUTORA DE EVENTOS LTDA,DOUGLAS,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
31/01/2026,sáb.,SÁB.,10:00,TR009513,32.380,STADIUM CONSTRUTORA LTDA,DOUGLAS,LAVADO,,BRUNO MICHEL,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
02/02/2026,seg.,SEG.,13:30,TR202928,29.530,R B S PRODUTOS DE PANIFICADORA LTDA,JORGE,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
02/02/2026,seg.,SEG.,16:00,TR000239,11.180,NWF TRANSPORTES E LOGISTICA LTDA,CARLOS,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,NÃO COMPARECEU,
04/02/2026,qua.,QUA.,09:00,TR202043,28.480,SINVAL JOSE DA SILVA LTDA,LUIZ CLAUDIO,LAVADO,,MARCIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
04/02/2026,qua.,QUA.,09:00,TR027984,30.320,CERAMICA NOVA ALIANCA LTDA,DOUGLAS,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
04/02/2026,qua.,QUA.,09:00,TR032501,17.210,MUNICIPIO DE CASTELANDIA,WALERIA,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
04/02/2026,qua.,QUA.,13:30,TR011570,9.180,DR GELADOS LTDA,JORGE,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
