,,ESTOQUE ,,,,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,FATUR. fabri.,CLIENTE,STATUS,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLIC., ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,ACS.,OS,RECALL,VALOR,ACESSÓRIOS / RECALL,TIPO,STATUS,OBS,OBS:
VR007355,27.320,,13/04/26,CACU COM E IND DE ACUCAR E ALCOOL L,VENDA DIRETA,FABRICA,,,,19/03/2026,720297,MARIANA,,,DESTINO,NÃO TEM,,,,,VAI P/ LUBSERT SERTAOZINHO - SP,
VR007776,27.320,,13/04/26,CACU COM E IND DE ACUCAR E ALCOOL L,VENDA DIRETA,FABRICA,,,,19/03/2026,720298,MARIANA,,,DESTINO,NÃO TEM,,,,,VAI P/ LUBSERT SERTAOZINHO - SP,
VR007412,27.320,,13/04/26,CACU COM E IND DE ACUCAR E ALCOOL L,VENDA DIRETA,FABRICA,,,,19/03/2026,720299,MARIANA,,,DESTINO,NÃO TEM,,,,,VAI P/ ITUMBIARA,
VR009379,17.210,,13/04/26,CACU COM E IND DE ACUCAR E ALCOOL L,VENDA DIRETA,FABRICA,,,,23/03/2026,720600,,,,,NÃO TEM,,,,,,
VR007337,27.320,,13/04/26,CACU COM E IND DE ACUCAR E ALCOOL L,VENDA DIRETA,IMPLEMENTADOR,,,,19/03/2026,720296,MARIANA,,,BRANCO,NÃO TEM,,,,,63803 - GO - 05/04/2026,
VR009178,17.210,,13/04/26,CACU COM E IND DE ACUCAR E ALCOOL L,VENDA DIRETA,IMPLEMENTADOR,,,,20/03/2026,720498,MARIANA,,,,NÃO TEM,,,,,LUBESER EQUIP - 25/03,
TR025117,9.180,AZUL BISCAY,23/09/25,CENTRAL LOGISTICA TRANSPORTES LTDA,FATURADO,PATIO 1,REVISÃO 1 ANO,,,22/06/2026,1046101,KRISLEY,,NÃO,,NÃO TEM,,,,,VIAJEM - 62437 - ANS - 07/10,
VR015645,17.210,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,DESTINO ,,,,25/05/2026,728506,GUSTAVO,PAGO,,,NÃO TEM,,,,,,
VR008975,14.180,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,EM VIAJEM - GABARDO,,,,14/04/2026,723593,GUSTAVO,,,,NÃO TEM,,,,,,
VR019735,VW 26.320,BRANCO,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,PRANCHA GABARDO 25/06,,,,,,,,NÃO TEM,,,,,,
VR019746,VW 26.320,BRANCO,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,PRANCHA GABARDO 25/06,,,,GUSTAVO,,,,NÃO TEM,,,,,,
VR019756,VW 26.320,BRANCO,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,PRANCHA GABARDO 25/06,,,,GUSTAVO,,,,NÃO TEM,,,,,,
VR009821,EXPRESS,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,31/03/2026,722477,GUSTAVO,,,,NÃO TEM,,,,,63906 - GO - 14/04,
VR009934,EXPRESS,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,31/03/2026,722478,GUSTAVO,,,,NÃO TEM,,,,,63908 - GO - 14/04,
VR008486,26.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,31/03/2026,722078,GUSTAVO,,,,NÃO TEM,,,,,63886 - ANS - 11/04/26,
TR201371,28.480,,,CENTRO OESTE IMPLEMENTOS LTDA,FATURADO,IMPLEMENTADOR,,,,22/04/2026,1035615,GUSTAVO,,,,NÃO TEM,,,,,JRV,
SR017606,11.180,,,CENTRO OESTE IMPLEMENTOS LTDA,FATURADO,IMPLEMENTADOR,,,,24/04/2026,1036106,GUSTAVO,,,,NÃO TEM,,,,,JRV,
