,,,PROGRAMAÇÃO ,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,OS,IMPLEMENTO,,STATUS,CLIENTE,LOCAL,ACES.,PAGO,CAMPANHA,LOCAL,VENDA DT,NF,VENDEDOR,DT ENT.,HR ENT.,,VALOR,OS.,ACESSÓRIOS
VR014161,EXPRESS,382194,NENHUM,FALSE,,BUENO EVENTOS LOCACOES E SERVICOS LTDA,IMPLEMENTADOR,N,PAGO,NÃO TEM,R. A. IMPLEMENTOS - 01/06/26,18/05/2026,1040112,CRISTIANO,NF. CARLOS WHATSAPP,,,,,
VR007355,27.320,DESTINO,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,FABRICA,N,,NÃO TEM,VAI P/ LUBSERT SERTAOZINHO - SP,19/03/2026,720297,MARIANA,,,,,,
VR007776,27.320,DESTINO,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,FABRICA,N,,NÃO TEM,VAI P/ LUBSERT SERTAOZINHO - SP,19/03/2026,720298,MARIANA,,,,,,
VR007412,27.320,DESTINO,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,FABRICA,N,,NÃO TEM,VAI P/ ITUMBIARA,19/03/2026,720299,MARIANA,,,,,,
VR007337,27.320,BRANCO,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,IMPLEMENTADOR,N,,NÃO TEM,63803 - GO - 05/04/2026,19/03/2026,720296,MARIANA,,,,,,
VR009178,17.210,,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,IMPLEMENTADOR,N,,NÃO TEM,LUBESER EQUIP - 25/03,20/03/2026,720498,MARIANA,,,,,,
VR009379,17.210,,,FALSE,,CACU COM E IND DE ACUCAR E ALCOOL L,FABRICA,N,,NÃO TEM,,23/03/2026,720600,,,,,,,
SR032428,11.180,355555,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR032244,11.180,355556,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR033491,11.180,355557,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR033713,11.180,355561,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR033695,11.180,355564,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,21/10/2024,,RUI,,,,,,
SR033970,11.180,355790,NENHUM,FALSE,,CEL ENGENHARIA LTDA - GEOMETRIA  PASSAR P/ SALMER FAZER - SEMI NOVOS YURI,IMPLEMENTADOR,N,,NÃO TEM,GOIANIRA,28/10/2024,,RUI,,,,,,
SR031479,9.180,363158,NENHUM,FALSE,,CENTRO OESTE IMPLEMENTOS LTDA,JRV,N,,NÃO TEM,JRV,03/02/2025,,GUSTAVO,,,,,,
